Country	State	No of UFO sightings
VIETNAM		6
MANCHESTER		2
NOT SURE WHICH TOWN		1
OVER PACIFIC OCEAN		1
JAMAICA		12
TIRAU		1
OUTSIDE CITY, ON LARGE HIGHWAY		1
SINGAPORE		20
EGYPT		14
LEBANON		9
BILBAO		1
AUSTRIA		7
SOUTHERN PART		1
PARAPARAUMU		1
MARIBOR		1
COLOMBIA S.A.		1
UK/ENGLAND??		3
LAMMA ISLAND; PRC		1
SEYCHELLES		1
BOTSWANA		1
CASTLEFOD		1
IN PACIFIC OCEAN		1
MALAYSIA		53
BETWEEN MEXICO AND CUBA		1
USSR		1
RUSSIAN FEDERATION		1
KULLU		1
NEW ZEALAND		122
SHEPSHED		1
NORWICH		1
MAIDSTONE, KENT (UK/ENGLAND		1
PUNTAS CABRAS		1
IN-FLIGHT INTERCEPT		1
IN-FLIGHT/EUROPE		1
IN THE AIR		1
BRITISH VIRGIN ISLANDS		3
PHUKET ISLAN, THAILAND		1
WEST GERMANY		3
JAPAN		46
USS W.S. SIMS		1
GRAND CANARY ISLAND		2
KARACHI		2
BRUNEI		4
TAS, AUSTRALIA		4
ON BEACH		1
UNKNOWN		2
PONCE		2
MOROCCO		9
GEORGIA		1
GLOSSUP		1
UGANDA		1
TEHRAN		1
BOLIVIA		4
DOMINICAN REPUBLIC		14
PORT-AU-PRINCE		1
WEST LONDON (UK/ENGLAND		1
SEOUL		1
BISHOP AUCKLAND, DURHAM		1
TROOPSHIP/ USS ROSE		1
ALASKA		1
UK/ENGLAND?		1
CARIBBEAN CRUISE		1
NOT APPLICABLE		1
PRISHTINA		1
CARACAS		1
NASA SHUTTLE DISCOVERY		1
QLD, AUSTRALIA)		1
PAKSE		1
AT SEA		3
IN ORBIT		1
AMERICAN NAME		1
BRIDGEND		1
SHIRAZ		1
APPROXIMATELY; OVER WATER		1
WELLINGTON		1
CHINA		37
GUYANA		5
UK ENGLAND		1
TURKS/CAICOS		1
ST. CROIX, US VIRGIN ISLANDS		1
GUAM		2
NORTHERN IRELAND		22
VICTORIA, AUSTRALIA		1
ANNALONG		1
NAMIBIA		2
GREECE		43
BELIZE		5
BELARUS		1
SOUTH PACIFIC		1
REPUBLIC OF SOUTH AFRICA		1
KUNSAN CITY, SOUTH KOREA		1
U.A.E.		1
OCHORIOS		1
TYRRHENIAN SEA		1
APPROX. 250 MI. OVER		1
FAR EAST		1
CRUZ BAY		1
COMPTON		1
ATLANTIC OCEAN; NEAR VIRGINIA		1
JORDAN		9
10 KM INSIDE BORDER WITH KUWAIT		1
TURKEY		39
TURKMENISTAN		1
URUGUAY		5
PANAMA		16
OVER 38TH PARALLEL		1
IN ORBIT/SPACE SHUTTLE		1
OFF COAST		1
NEAR THE MOON SURFACE		1
HAITI		1
CV-67 U.S.NAVY		1
PIRATES OF THE CARIBBEAN, BLACK PEARL		1
GERMANY/HOLLAND		1
KOSOVO		6
INDIAN OCEAN		2
BAHAMAS		19
QUEENSLAND		1
RURAL		3
PACIFIC COAST		1
ON HIGHWAY		1
UK/S.WALES		1
2 HOURS SOUTH OF		1
PHILADELPHIA		1
OUTSIDE PANAMA CITY		1
MOSUL		1
PERU		17
MAYAGÌ_EZ		1
MULWALA,,NSW AUSTRALIA		1
INTERNATIONAL SPACE SHUTTLE		1
IRAN		23
NORTHERN LOCATION		1
AZERBAIJAN		4
DIRKSLAND		1
GIBRALTAR		2
IRAQ		20
ECUADOR		11
WEDNESBURY		1
GUAYAQUIL		1
GAMBIA		1
TANZANIA		2
SMALL VILLAGE NEAR NORWICH		1
SCOTLAND		1
PYRENEES MOUNTAINS		1
MEDITERRANEAN SEA		5
NEW AMSTERDAM		1
ARUBA		1
ENSENADA		1
PACIFIC OCEAN/X-43A LAUNCH		1
LA PAZ		1
ATLANTIC OCEAN		7
NORTHEAST		1
WESTERN PACIFIC OCEAN		1
CHESTERFIELD, DERBYSHIRE, ENGLAND		1
LIBYA		3
SOUTH AFRICA		78
THE BAHAMAS		1
INDONESIA		13
HELLENIC REPUBLIC		1
NO STATE		1
NORTH OF; AT SEA; ON CRUISE SHIP		1
UK/WALES??		1
SAN PEDRO TOWN, AMBERGRIS CAYE, BELIZE		1
TRINIDAD		3
KOREA		5
PALMERSTON NORTH		1
KYRGYSTAN		1
2 NWA FLT 007		1
CONGO		1
MIDWAY ISLAND - PACIFIC OCEAN		1
ESSES, ENGLAND		1
SLOVENIA		4
IRELAND		37
BANDAR SERI BEGAWAN		1
LIMA		3
TALAVERA DE LA REINA		1
BANGLADESH		7
MIDDLE		1
ICELAND		13
KINGDOM OF BAHRAIN		1
RUSSIA		24
NEAR COOPERS TOWN		1
UKRAINE)		1
LONDON UK/ENGLAND		1
CHESTERFIELD INLET		1
IN-FLIGHT; FLYING N TOWARD G. OF MEX.		1
EUROPE		1
ISRAEL		31
HIGH ANDEAN PLATEAU OF MARCAHUASI, PERU		1
IQUIQUE		1
UNDISCLOSED		1
HOAX)		1
CASTLEFORD NR LEEDS		1
OUTER SPACE		1
THAILAND		16
DUNEDIN		1
PUERTO VALLARTA		2
WELLINGBOROUGH		1
BROADSTAIRS (UK/ENGLAND		1
SIDI YAHIA U.S. NAVAL FACILITY		1
WESTERN PACIFIC		1
KAPITI COAST		1
LOCATION UNSPECIFIED		2
MID-ATLANTIC		1
FLIGHT TO		1
HONG KONG		3
UK/WALES		79
IN-FLIGHT/UNKNOWN		1
WASHINGTON D.C.		1
AFGHANISTAN		7
SAUDI ARABIA		13
ABOVE; FROM AIRCRAFT		1
UK/ NORTH WALES		1
BETWEEN		1
PALESTINE		1
AT SEA ON S.S. GIOVANNI		1
BAHRAIN		2
BEIJING		1
INFLIGHT, USN P-3		1
BOSNIA		2
QLD, AUSTRALIA		39
ST. MARTIN		1
WIDDRINGTON/MORPETH, NORTHUMBERLAND.		1
PARADISE		1
NETHERLAND ANTILLES)		1
YOKOTA A.F.B.		1
MASSIF MAURES SOUTHERN		1
PANAMA CANAL ZONE		1
LIBERIA		1
VIC, AUSTRALIA		58
QUEENSLAND, AUSTRALIA		3
CANCUN		1
PACIFIC NORTHWEST - FLYING FROM PORTLAND TO L.A., CA/OR		1
LONDON		1
GUATAMALA		5
TAIWAN		5
OKINAWA		1
FIJI		2
AUSTRALIA)		1
SOUTH AUSTRALIA		25
ROMANIA		25
BRASIL		5
EL SALVADOR		2
INDIA		151
NT, AUSTRALIA		4
RIO PIEDRAS		2
HUNGARY		13
DUBAI		1
GREATER MANCHESTER AREA		1
UNITED ARAB EMIRATES		5
IRVINE (UK/SCOTLAND		1
SWEDEN/DENMARK		1
MALTA		3
INTERNATIONAL SPACE STATION		2
GREENLAND		2
NORTH PART OF FRANCE		1
MALAYSIA/RINGGIT		1
DUTCH ANTILLES		3
HAVANA		1
AND CAICOS		1
NORTHERN IRAQ		1
AUSTRALI		1
GUATEMALA		2
SOUTHWEST U. S.		1
IN-FLIGHT; CHICAGO TOTAMPA BAY		1
SAN CARLOS		1
5 MILES SOUTH OF		1
LINCOLNSHIRE		1
DEVONSHIRE		1
NORTH ATLANTIC OCEAN		1
OVER		1
CZECH BORDER		1
LUXEMBOURG		2
TURKEY/GREECE		1
ADELAIDE		1
UK, CHANNEL ISLANDS, GUERNSEY		1
COSTA RICA		20
ETHIOPIA		3
SWEDEN		45
FINLND		1
ENROUTE TO FRANCE		1
CORSICA		1
LA PAZ/COCHABAMBA/POTOSI		1
DENMARK		28
REMOTE COUNTRYSIDE, EAST COAST		1
NEPAL		3
PAPUA NEW GUINEA		1
MEXICALI B. C. MEXICO; SIERRA CUCAPAH; CERRO PRIETO., B. C.		1
FORWARD OPERATING BASE		1
LIMASSOL		1
KUWAIT		11
GRENADINE ISLANDS		1
UK/SCOTLAND		183
IN-FLIGHT; FROM TOKYO AIRPORT TO HONOLULU		1
SOUTH CENTRAL IRAQ		1
 TURKEY		1
TONGA		1
HONDURAS		6
BAJA, MEXICO		2
UK/ENGLND		1
VIET NAM		10
GRAND CAYMAN		1
UNITED ARAB REPUBLIC		1
SWITZERLAND		26
AT SEA, OUT OF JAPAN		1
CANADA		15
243 MILES ABOVE		1
NORTH AMERICA, BERMUDA		1
DONT KNOW		1
PACIFIC OCEAN		4
SOUTH AUSTRALIA 		1
NEW MUMBAI		1
NOTTINGHAM (UK/ENGLAND		1
SYRIA		4
NIGERIA		3
TENERIFE, CANARY ISLANDS		1
KIEV		1
KOREAN PENINSULA		1
LESOTHO		1
3 MI. OFF COAST OF; ABOARD SHIP		1
CANADA/ICELAND, MIDWAY BETWEEN		1
UK		1
TRINIDAD/TOBAGO		1
UKRAINE		5
ILIRSKA BISTRICA		1
LITHUANIA		12
UNITED KINGDOM		1
LELYSTAD		1
SAN PEDRO DE MACORIS		1
YUGOSLAVIA		7
REPUBLIC OF KOREA		1
POLPERO, CORNWALL UK		1
LUXEMBURG		1
BRAZIL		68
QUITO		2
SERBIA/MONTENEGRO		1
SHANGHAI		2
WEST COAST		1
GERMANY		95
SOHO		1
PUERTO RICO		70
GERMANU		1
DONCASTER		1
ZALKA		1
50 MI. S OF; AT SEA		1
VIRGIN ISLANDS		1
NASA SPACE SHUTTLE		1
SOMALIA		1
S. AFRICA, EAST COAST		1
U.S.NAVY-USS GLOVER AGFF-1-BURMUDA TRIANGLE, FLA.		1
KAZAKHSTAN		2
STS 121 NASA FOOTAGE		1
MALDIVES		2
OVER NORTH ATLANTIC OCEAN, NEAR ICELAND		1
DURING CRUISE		1
ZAHLE		1
RIGA		1
MILANO		1
INFLIGHT		2
LATVIA		4
SLOVAKIA		1
OFFSHORE		1
BELGIUM		38
MANCHESTER (UK/ENGLAND		1
ORCHID COUNTRY CLUB GOLF COURSE		1
CARIBBEAN		1
WASHINGTON DC TO KANSAS CITY		1
NEAR; ON CRUISE SHIP		1
UK/ENGLAND		1904
MAURITIUS		2
REPUBLIC OF SOUTH KOREA		1
BRONX		1
SOUTHEAST COAST		1
IN FORMER YUGOSLAVIA		1
ST. MAARTEN		1
MUMBAI		1
TUNISIA		1
CAMBODIA		2
UK/ENGLAND UK		1
BRITSH VIRGIN ISLANDS		1
SAIPAN		1
ISLE OF MAN		1
YUCATAN, MEXICO		1
CUBA		7
FINLAND		28
SPLIT		1
SINAI		1
ST. HELENA ISLAND		1
EAST TIMOR		1
MYANMAR		1
MAZARRON		1
ANTIBES		1
NORTH WALES		2
PAPHOS		2
KOSOVO, YUGOSLAVIA		1
CHILE		22
DEVON, UK/ENGLAND		2
CAMEROON		1
GRAND CANARIA ISLAND		1
BULGARIA		12
