name,count
looked,3610
indicates,1927
approximately,1479
never,1187
NUFORC,1101
might,1095
really,1092
towards,1087
local,1039
drove,964
little,951
always,917
whole,909
seemed,886
decided,863
several,847
stayed,842
became,803
noticed,767
Witness,761
incident,751
wanted,750
shooting,716
entire,709
except,702
trying,701
realized,674
Summary,649
extremely,647
continued,599
remain,593
approximate,590
toward,554
rather,529
travelling,506
began,499
different,471
across,469
elects,463
passing,447
playing,445
completely,444
getting,429
reached,404
parking,398
ldquo,387
every,371
walked,366
stood,358
making,354
approaching,353
possibly,345
nearly,344
talked,342
aware,326
telling,325
maybe,318
flashed,316
stated,314
street,300
least,299
perhaps,298
traveling,297
indicate,295
staring,291
opposite,291
number,291
station,290
provides,287
arrived,285
faint,280
tried,280
heading,275
understand,275
particular,274
showed,271
deleted,266
satellites,262
wonder,262
slowed,261
assumed,259
parallel,257
Source,254
immediately,249
small,247
definitely,246
Woman,246
yelled,245
given,237
leaving,226
another,226
sudden,225
surrounding,224
hovered,223
general,221
moving,220
asked,219
officer,217
accelerated,215
hearing,210
sounded,209
talking,207
various,206
formed,206
spoke,205
apartment,205
seemingly,204
shining,201
travelled,201
reminded,201
calls,200
barely,200
unable,198
received,197
facing,196
years,195
Beach,195
actual,195
couldnt,195
slight,194
major,192
telephone,190
makes,190
missing,190
distinct,189
ABOUT,189
pulled,188
starting,188
closer,187
finally,186
beside,186
convinced,186
figured,185
bright,184
complete,183
grabbed,183
submitted,182
farther,182
spotted,181
untill,181
leave,180
agreed,179
police,179
realize,178
young,178
probably,178
emitted,176
catch,176
gotten,174
image,174
strong,174
traveled,173
spent,173
determine,172
brothers,172
appear,170
moment,169
roughly,168
regular,167
going,167
giving,167
lasted,166
continue,166
amount,166
surrounded,165
stealth,165
described,164
reflected,163
crossed,163
running,162
visiting,162
certainly,161
cluster,160
floor,159
couple,159
writing,159
guess,159
streaked,157
LOOKED,156
yards,155
weather,155
trailing,155
balls,155
around,154
brought,154
conventional,153
joined,153
enough,151
taking,151
enormous,151
reference,151
especially,150
pulling,149
explained,149
stared,147
pretty,146
sighted,146
meteors,145
numerous,145
observing,145
photo,144
turned,144
rolled,144
judge,144
waited,143
power,142
hellip,142
appeared,142
hundreds,142
seems,141
darker,141
needed,140
flashing,140
attempt,140
northern,139
laying,138
smaller,138
unidentified,137
finished,137
resembled,136
usual,136
share,136
focus,136
assume,136
totally,135
raised,135
circling,135
descended,134
assigned,134
dropped,134
shadow,133
confirm,133
still,133
viewed,133
discussed,132
relatively,132
National,132
television,132
quite,132
found,131
photos,131
comming,131
International,130
chasing,129
forming,129
downtown,129
portion,129
listen,128
proceeded,128
definately,128
neighbors,128
upper,127
setting,127
reading,127
extreme,126
friend,126
Route,125
regarding,125
circled,125
leading,125
descend,124
compared,124
months,124
hover,124
swear,123
beleive,123
initially,123
broad,123
former,123
NOTICED,122
streaking,122
typical,122
wondered,121
slowing,121
contrails,121
contacted,120
somewhat,120
THOUGHT,120
place,120
common,120
dismissed,120
incredibly,120
effect,120
recall,119
